"variant","age","ylo","yhi","cancer_type"
"U2AF1_S34F",60.8862876254181,57580335106473.5,87642299097259.6,"AML"
"U2AF1_S34F",61.1103678929766,57854615641476.9,88024920137748.8,"AML"
"U2AF1_S34F",61.3344481605351,58143890233180.1,88446555162720.8,"AML"
"U2AF1_S34F",61.5585284280936,58442356449261.8,88831156766930.6,"AML"
"U2AF1_S34F",61.7826086956522,58717840944432,89246222325591.8,"AML"
"U2AF1_S34F",62.0066889632107,59026755088706.5,89680584063517.1,"AML"
"U2AF1_S34F",62.2307692307692,59263420699215.1,90021335059765,"AML"
"U2AF1_S34F",62.4548494983278,59497298106368.5,90413937375577.6,"AML"
"U2AF1_S34F",62.6789297658863,59780932792431.6,90796406867578.4,"AML"
"U2AF1_S34F",62.9030100334448,60019304591667.9,91099547919919.7,"AML"
"U2AF1_S34F",63.1270903010033,60291617853575.5,91454059152819.3,"AML"
"U2AF1_S34F",63.3511705685619,60558164350504.5,91761591938941,"AML"
"U2AF1_S34F",63.5752508361204,60800689306564.6,92210903773200.1,"AML"
"U2AF1_S34F",63.7993311036789,61051960090728.9,92513437522516.8,"AML"
"U2AF1_S34F",64.0234113712375,61296404537512.2,92862299171299.8,"AML"
"U2AF1_S34F",64.247491638796,61506319077370.2,93265604421407.5,"AML"
"U2AF1_S34F",64.4715719063545,61715408233018.5,93695196941782.1,"AML"
"U2AF1_S34F",64.695652173913,61914899272022.8,94108210892447.9,"AML"
"U2AF1_S34F",64.9197324414716,62135108550776.2,94486569133876.3,"AML"
"U2AF1_S34F",65.1438127090301,62351603925245.9,94907542142324.9,"AML"
"U2AF1_S34F",65.3678929765886,62555168427554.3,95230443289152.8,"AML"
"U2AF1_S34F",65.5919732441472,62756609032047.4,95576049904335.5,"AML"
"U2AF1_S34F",65.8160535117057,62953505459204.1,96004493856439.2,"AML"
"U2AF1_S34F",66.0401337792642,63126111305184.7,96438784795888.2,"AML"
"U2AF1_S34F",66.2642140468227,63298057373235.9,96829503986822.9,"AML"
"U2AF1_S34F",66.4882943143813,63495889133779.2,97250718935789.4,"AML"
"U2AF1_S34F",66.7123745819398,63695954395027.4,97644063370901.2,"AML"
"U2AF1_S34F",66.9364548494983,63906031252694.8,98106002946713.8,"AML"
"U2AF1_S34F",67.1605351170569,64107522928231,98495470733258.7,"AML"
"U2AF1_S34F",67.3846153846154,64327998881217.1,98891468099007.2,"AML"
"U2AF1_S34F",67.6086956521739,64497358711948.4,99263327589069.4,"AML"
"U2AF1_S34F",67.8327759197324,64669306295068,99760575300102.7,"AML"
"U2AF1_S34F",68.056856187291,64816235308455.4,100199534720246,"AML"
"U2AF1_S34F",68.2809364548495,65006371654637,100506359644345,"AML"
"U2AF1_S34F",68.505016722408,65196277401941.9,101031551578914,"AML"
"U2AF1_S34F",68.7290969899665,65344476397699.3,101378683793648,"AML"
"U2AF1_S34F",68.9531772575251,65556276646103.8,101834501597016,"AML"
"U2AF1_S34F",69.1772575250836,65734225890647.8,102341857874017,"AML"
"U2AF1_S34F",69.4013377926421,65892420462370.1,102826172512382,"AML"
"U2AF1_S34F",69.6254180602007,66050096597532.5,103222663094297,"AML"
"U2AF1_S34F",69.8494983277592,66169165957027.5,103718633543362,"AML"
"U2AF1_S34F",70.0735785953177,66299280015789.8,104214144504816,"AML"
"U2AF1_S34F",70.2976588628763,66486096130516,104704294545928,"AML"
"U2AF1_S34F",70.5217391304348,66702152783194,105180828155498,"AML"
"U2AF1_S34F",70.7458193979933,66858479391232.9,105645592614884,"AML"
"U2AF1_S34F",70.9698996655518,66964355822174.8,106109657964768,"AML"
"U2AF1_S34F",71.1939799331104,67082258908471.3,106474969057402,"AML"
"U2AF1_S34F",71.4180602006689,67221428045795.2,106914943157639,"AML"
"U2AF1_S34F",71.6421404682274,67369874222148.7,107388020083368,"AML"
"U2AF1_S34F",71.866220735786,67525678866652.9,107807094047016,"AML"
"U2AF1_S34F",72.0903010033445,67661282172299.9,108126468951812,"AML"
"U2AF1_S34F",72.314381270903,67811278014333.5,108535308476531,"AML"
"U2AF1_S34F",72.5384615384615,67951621572231,109063715903008,"AML"
"U2AF1_S34F",72.7625418060201,68087564458236.6,109437178652726,"AML"
"U2AF1_S34F",72.9866220735786,68185142240998.5,109913646229654,"AML"
"U2AF1_S34F",73.2107023411371,68284040382278.5,110381706952035,"AML"
"U2AF1_S34F",73.4347826086957,68405314374490.5,110812951851784,"AML"
"U2AF1_S34F",73.6588628762542,68552359218186,111157051058910,"AML"
"U2AF1_S34F",73.8829431438127,68665111236480.9,111619023994467,"AML"
"U2AF1_S34F",74.1070234113712,68783743589138.8,112063481802709,"AML"
"U2AF1_S34F",74.3311036789298,68912564778852.8,112413006920569,"AML"
"U2AF1_S34F",74.5551839464883,69036422550013.7,112795134995980,"AML"
"U2AF1_S34F",74.7792642140468,69112989148137.7,113193074701402,"AML"
"U2AF1_S34F",75.0033444816054,69210313273466,113588860270229,"AML"
"U2AF1_S34F",75.2274247491639,69332010066674.8,114025801673860,"AML"
"U2AF1_S34F",75.4515050167224,69456145242124.4,114448255878085,"AML"
"U2AF1_S34F",75.6755852842809,69554703306777.4,114858226742067,"AML"
"U2AF1_S34F",75.8996655518395,69624681592513.4,115280199738181,"AML"
"U2AF1_S34F",76.123745819398,69708772900246.2,115662308563669,"AML"
"U2AF1_S34F",76.3478260869565,69840605483484.5,116135882317053,"AML"
"U2AF1_S34F",76.5719063545151,69911266076410.8,116530881397971,"AML"
"U2AF1_S34F",76.7959866220736,70067030854982.5,116910864336104,"AML"
"U2AF1_S34F",77.0200668896321,70166702629115.8,117288885652131,"AML"
"U2AF1_S34F",77.2441471571906,70258509269106.7,117634189929608,"AML"
"U2AF1_S34F",77.4682274247492,70358916282821.8,117977146375776,"AML"
"U2AF1_S34F",77.6923076923077,70455171085330.4,118317796954426,"AML"
"U2AF1_S34F",77.9163879598662,70512151009890,118711507519402,"AML"
"U2AF1_S34F",78.1404682274247,70590103645811,119124374030987,"AML"
"U2AF1_S34F",78.3645484949833,70698196626247.5,119494971792222,"AML"
"U2AF1_S34F",78.5886287625418,70791675202441.1,119853772373997,"AML"
"U2AF1_S34F",78.8127090301003,70884209282544.9,120195495448758,"AML"
"U2AF1_S34F",79.0367892976589,70965421937174.2,120639079035246,"AML"
